country,material,price,currency,unit,source,date,source_url,extraction_date
Algeria,Apartamento (m2 Centro),1234.7,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Slovenia,Apartamento (m2 Centro),5014.5,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Colombia,Apartamento (m2 Centro),1993.18,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Ecuador,Apartamento (m2 Centro),1536.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Kosovo (Disputed Territory),Apartamento (m2 Centro),2090.16,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Hungary,Apartamento (m2 Centro),3905.64,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Japan,Apartamento (m2 Centro),6024.97,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Moldova,Apartamento (m2 Centro),2632.05,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Belarus,Apartamento (m2 Centro),1775.11,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Mauritius,Apartamento (m2 Centro),3875.46,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Albania,Apartamento (m2 Centro),2831.61,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
New Zealand,Apartamento (m2 Centro),5571.8,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Italy,Apartamento (m2 Centro),4041.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Singapore,Apartamento (m2 Centro),23746.89,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Egypt,Apartamento (m2 Centro),811.83,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Bolivia,Apartamento (m2 Centro),1264.5,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Malta,Apartamento (m2 Centro),4502.57,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Russia,Apartamento (m2 Centro),2628.09,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Saudi Arabia,Apartamento (m2 Centro),2295.62,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Netherlands,Apartamento (m2 Centro),6972.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Pakistan,Apartamento (m2 Centro),880.68,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
